events_id;attendee_id;registration_date;seat;event_name;location;event_date;venues_id;attendee_name;email;ticket_type;venue_name;capacity
498;639;14/01/2025;p;final;Carriechester;06/02/2025;19;Veronica Herman;dianavillanueva@example.com;Regular;Jackson Ltd;544
189;355;07/01/2025;N;reach;Christopherhaven;01/02/2025;8;Nicole Johnson;nguyenrachel@example.com;Regular;Humphrey and Sons;169
313;350;29/01/2025;V;must;New Ericview;10/02/2025;17;Amanda Taylor;russellstephanie@example.org;VIP;Jones, Clark and Mckinney;245
386;654;26/01/2025;p;Congress;North Dylan;02/02/2025;6;Emily Nelson;alyssacoleman@example.com;Regular;Ward PLC;742
51;1063;12/01/2025;m;four;Greenborough;02/02/2025;11;Heidi Hill;nsmith@example.net;VIP;Lee, Erickson and Velez;990
93;1147;07/02/2025;H;tax;Ashleyburgh;19/02/2025;8;Angela Brown;mcleanjerry@example.com;VIP;Humphrey and Sons;169
140;1832;10/02/2025;J;operation;Hendersonborough;01/02/2025;5;Christopher Lee;ewood@example.org;Regular;Davis-Morgan;257
151;11;20/01/2025;D;available;Caldwellfurt;15/02/2025;5;Mr. Richard Campbell;farrellthomas@example.com;VIP;Davis-Morgan;257
311;678;05/01/2025;C;also;East Andrewborough;07/01/2025;11;Alexander Thornton;lauren06@example.com;VIP;Lee, Erickson and Velez;990
312;1075;08/01/2025;x;detail;Port Heather;20/02/2025;7;Kristy Blake;wilsontaylor@example.org;Regular;Webb PLC;551
410;334;07/01/2025;W;as;Port Christinamouth;05/01/2025;14;Elizabeth Jones;tami47@example.org;VIP;Dunn, Cooper and Gross;988
192;1052;02/02/2025;K;soldier;Port Amandachester;09/02/2025;10;John Miller;torresshane@example.net;Regular;Wright LLC;289
498;360;07/02/2025;r;final;Carriechester;06/02/2025;19;Lisa Walker;glong@example.org;VIP;Jackson Ltd;544
148;290;03/02/2025;p;woman;Lake Jeffrey;12/02/2025;2;Sarah Morton;taylorjohn@example.com;Regular;Hall-Sanders;734
171;1213;09/02/2025;w;smile;Amandaborough;09/01/2025;5;Kenneth Gardner;hansenbrandon@example.org;VIP;Davis-Morgan;257
496;1956;17/02/2025;n;dinner;Port Rebecca;26/01/2025;15;Michael Kelly;aaron07@example.com;Regular;Holt, Baker and Cook;961
429;407;28/01/2025;H;part;Jamesview;08/02/2025;19;David Flores;bgardner@example.net;Regular;Jackson Ltd;544
359;927;18/01/2025;O;information;Thompsonshire;15/02/2025;20;David Hunt;matthewnunez@example.org;Regular;Jackson, Glass and Christian;693
433;1939;26/01/2025;X;week;Tonyaburgh;13/01/2025;8;Shari Schaefer;autumn10@example.net;Regular;Humphrey and Sons;169
460;328;24/01/2025;y;available;New Michaelbury;31/01/2025;15;Michael Cross;robert65@example.com;Regular;Holt, Baker and Cook;961
306;230;04/02/2025;d;police;South Scottport;14/01/2025;17;Nicole Butler;iwheeler@example.com;Regular;Jones, Clark and Mckinney;245
136;258;03/02/2025;O;rise;Lake Susan;02/02/2025;2;Jessica Jones;eric40@example.org;Regular;Hall-Sanders;734
235;1405;07/02/2025;q;writer;Mariahstad;13/01/2025;8;Patrick Mitchell;rebeccaburnett@example.org;Regular;Humphrey and Sons;169
496;769;03/01/2025;T;dinner;Port Rebecca;26/01/2025;15;Sarah Young;amber52@example.com;Regular;Holt, Baker and Cook;961
116;70;13/02/2025;s;opportunity;Maryburgh;11/02/2025;6;Joseph White;xflores@example.net;Regular;Ward PLC;742
313;651;18/02/2025;n;must;New Ericview;10/02/2025;17;Amber Reynolds;steven18@example.net;VIP;Jones, Clark and Mckinney;245
52;884;01/01/2025;T;most;Stephenton;28/01/2025;3;Haley Weaver;lgaines@example.org;VIP;Garza, Berry and Wright;352
98;1722;09/01/2025;Q;while;Jamesbury;02/02/2025;20;Anthony Molina;shirley42@example.net;VIP;Jackson, Glass and Christian;693
113;1646;19/01/2025;C;member;Lake Ericberg;09/02/2025;3;Lori Sanchez;spatel@example.net;VIP;Garza, Berry and Wright;352
161;1295;22/02/2025;z;nice;Rubenchester;02/01/2025;7;Billy Willis;icarpenter@example.com;VIP;Webb PLC;551
201;1356;14/01/2025;P;at;Port Joditon;18/01/2025;7;Stephanie Maynard;bsanchez@example.com;VIP;Webb PLC;551
325;1167;20/02/2025;S;national;Port James;12/02/2025;5;Victor Harrison;ssmith@example.com;VIP;Davis-Morgan;257
333;1780;24/01/2025;B;section;Berryborough;10/01/2025;4;Jessica Hill;ichandler@example.com;VIP;Keller, Ward and Bernard;184
83;650;18/01/2025;I;set;South Joseph;09/01/2025;3;Natalie Alexander;laura94@example.com;Regular;Garza, Berry and Wright;352
354;1984;23/01/2025;O;then;Adamsburgh;07/01/2025;9;Nathan Miller;langthomas@example.net;Regular;Harmon Group;858
345;1252;03/02/2025;U;model;New Amandamouth;09/01/2025;19;Melissa Berger;acohen@example.net;VIP;Jackson Ltd;544
24;1213;21/01/2025;m;military;North Christopherstad;10/01/2025;1;Kenneth Gardner;hansenbrandon@example.org;VIP;Matthews PLC;169
13;479;04/01/2025;l;present;Maryfort;15/02/2025;1;Jeremy Miller;brucemiller@example.com;Regular;Matthews PLC;169
400;421;28/01/2025;m;represent;West Tamara;01/02/2025;19;Ricardo Greene;carolyn21@example.net;Regular;Jackson Ltd;544
368;1936;30/01/2025;j;yeah;Stephaniechester;19/01/2025;14;Jenna English;burgesseric@example.net;VIP;Dunn, Cooper and Gross;988
205;159;19/01/2025;X;Republican;Lake Kent;28/01/2025;17;Kimberly Perez;mitchellrachel@example.org;Regular;Jones, Clark and Mckinney;245
420;82;29/01/2025;U;guess;New Rhonda;21/01/2025;5;Bradley Whitehead;hayessteven@example.com;Regular;Davis-Morgan;257
